N	Median	Last decile	First decile	Max	Min
1	24129.6949568182	24129.6949568182	24129.6949568182	24129.6949568182	24129.6949568182
2	13243.2478138333	13459.0775540556	13027.4180736111	13513.0349891111	12973.4606385556
3	8857.399502375	8888.7493437639	8656.500433375	8896.5868041111	8606.275666125
4	6692.8507276667	6745.7144632633	6630.1967135222	6751.6916999	6620.0236432222
5	5251.6365777778	5371.1473667556	5197.5675390933	5421.2406086667	5178.1650282222
6	4291.7443356111	4333.2003867778	4240.3179711111	4370.0248097778	4199.7947732222
7	3499.2706914286	3688.8722517714	3421.869547	3743.9154778572	3412.4659261429
8	2898.0081092857	3011.2678061857	2826.5680353286	3042.9007802857	2790.0807144286
9	2431.8039418572	2500.3655610857	2359.9993640143	2585.4722357143	2358.4804515
10	2120.6776342976	2184.2662845333	2070.9803946143	2285.3244228333	2065.6529971429
15	1257.63720725	1349.81700325	1015.3590337	1438.454865	964.2831286667
30	363.67126365	459.7404461	273.8493234	530.299948625	253.6367088
40	223.0740369993	284.5194862241	182.9967009294	386.700103625	172.325631
50	161.2197082107	249.1637243883	117.2317249613	328.1131726667	88.1366008095
60	151.434967575	213.99028178	74.1279147	486.7776149	18.9379958
