N	Somme bandwitdh	Ecart moyen	whisker_top	whisker_bottom	median	box_bottom	box_top	Optimal
1	24129.6949568182	0	24129.6949568182	24129.6949568182	24129.6949568182	24129.6949568182	24129.6949568182	24129.6949568182
2	26486.4956276667	269.7871752778	13513.0349891111	12973.4606385556	13243.2478138333	13027.4180736111	13459.0775540556	12064.847478409	
3	26360.2619726111	120.3188831636	8896.5868041111	8606.275666125	8857.399502375	8656.500433375	8888.7493437639	8043.2316522727
4	26757.4167984556	52.375439225	6751.6916999	6620.0236432222	6692.8507276667	6630.1967135222	6745.7144632633	6032.4237392046
5	26373.7210239556	67.1038811893	5421.2406086667	5178.1650282222	5251.6365777778	5197.5675390933	5371.1473667556	4825.9389913636
6	25730.525387	32.0686178148	4370.0248097778	4199.7947732222	4291.7443356111	4240.3179711111	4333.2003867778	4021.6158261364
7	24722.7807612857	94.9830284257	3743.9154778572	3412.4659261429	3499.2706914286	3421.869547	3688.8722517714	3447.0992795455
8	23248.9073815714	68.0767152321	3042.9007802857	2790.0807144286	2898.0081092857	2826.5680353286	3011.2678061857	3016.2118696023
9	21953.3929059286	50.1953566914	2585.4722357143	2358.4804515	2431.8039418572	2359.9993640143	2500.3655610857	2681.0772174243
10	21338.0588765714	52.6997006619	2285.3244228333	2065.6529971429	2120.6776342976	2070.9803946143	2184.2662845333	2412.9694956818
15	18150.4497399167	113.1149480481	1438.454865	964.2831286667	1257.63720725	1015.3590337	1349.81700325	1608.6463304546
30	10880.3930109783	60.3602895214	530.299948625	253.6367088	363.67126365	273.8493234	459.7404461	804.3231652273
40	9224.034071943	34.3686932151	386.700103625	172.325631	223.0740369993	182.9967009294	284.5194862241	603.2423739205
50	8511.6052254818	42.4187947554	328.1131726667	88.1366008095	161.2197082107	117.2317249613	249.1637243883	482.5938991364
60	9168.2969783532	50.5219399204	486.7776149	18.9379958	151.434967575	74.1279147	213.99028178	402.1615826136
